model,metric,method,split_id,rule_rank,rule,n_test,test_support,test_support_ratio,test_mean_when_rule_fires,test_mean_when_rule_not_firing,test_delta,pvalue,cohen_d,train_direction,observed_direction,direction_consistent
llama3.1,explanation_length,ruleshap,1,1,technically complicated > 0.70 & technically complicated <= 0.89 & socially controversial > 0.5 & neutral <= 0.70 & subject to time variability <= 0.89,2106,436,0.2070275403608737,3564.919724770642,3258.3820359281435,306.5376888424985,1.6901684750890667e-28,0.600754538218024,positive,positive,True
llama3.1,explanation_length,ruleshap,1,2,NOT(conceptually dense <= 0.5 & technically complicated <= 0.70 & common <= 0.70),2106,2070,0.9829059829059829,3332.286473429952,2721.3888888888887,610.8975845410632,6.243172091001013e-07,1.1767106893562027,positive,positive,True
llama3.1,explanation_length,ruleshap,1,3,NOT(conceptually dense > 0.89 & neutral <= 0.5),2106,2094,0.9943019943019943,3325.840019102197,2624.5,701.340019102197,0.03752150462948457,1.3422660931343509,positive,positive,True
llama3.1,explanation_length,ruleshap,1,4,conceptually dense > 0.70 & conceptually dense <= 0.89 & technically complicated > 0.70 & technically complicated <= 0.89,2106,926,0.439696106362773,3515.0151187904967,3170.2533898305087,344.761728959988,2.7873118962794667e-54,0.6944161096309044,positive,positive,True
llama3.1,explanation_length,ruleshap,1,5,NOT(conceptually dense <= 0.5),2106,2028,0.9629629629629629,3341.1612426035504,2819.5897435897436,521.5714990138067,6.333386112335558e-13,1.0111149731801223,positive,positive,True
llama3.1,explanation_length,rulefit,1,1,technically complicated > 0.5000000149011612 & conceptually dense <= 0.9000000059604645 & socially controversial > 0.5000000149011612,2106,1512,0.717948717948718,3431.9900793650795,3041.4713804713806,390.5186988936989,5.814068015942681e-52,0.7891457428989761,positive,positive,True
llama3.1,explanation_length,rulefit,1,2,technically complicated > 0.5000000149011612 & socially controversial > 0.5000000149011612 & technically complicated > 0.7000000178813934 & subject to time variability <= 0.9000000059604645 & neutral <= 0.7000000178813934,2106,436,0.2070275403608737,3564.919724770642,3258.3820359281435,306.5376888424985,1.6901684750890667e-28,0.600754538218024,positive,positive,True
llama3.1,explanation_length,rulefit,1,3,conceptually dense > 0.5000000149011612 & conceptually dense > 0.7000000178813934 & subject to time variability <= 0.9000000059604645 & positive > 0.30000000447034836,2106,1377,0.6538461538461539,3470.00290486565,3041.9876543209875,428.01525054466265,2.103162590445398e-69,0.8842504077455186,positive,positive,True
llama3.1,explanation_length,rulefit,1,4,conceptually dense > 0.7000000178813934 & common > 0.7000000178813934,2106,983,0.46676163342830007,3456.851475076297,3203.6669634906502,253.18451158564676,2.769483587340195e-29,0.49669773782006493,positive,positive,True
llama3.1,explanation_length,rulefit,1,5,conceptually dense > 0.5000000149011612 & unambiguous > 0.5000000149011612,2106,1989,0.9444444444444444,3345.308195072901,2922.948717948718,422.3594771241833,1.6593218751259852e-10,0.8182563749126792,positive,positive,True
llama3.1,explanation_length,ruleshap,2,1,NOT(conceptually dense > 0.89 & negative > 0.70 & neutral <= 0.30),2106,2098,0.9962013295346629,3340.344137273594,2401.0,939.3441372735938,0.04353148831590657,1.8062507930158276,positive,positive,True
llama3.1,explanation_length,ruleshap,2,2,NOT(conceptually dense <= 0.5 & technically complicated <= 0.70 & common <= 0.70 & neutral <= 0.30),2106,2084,0.9895536562203229,3344.5124760076774,2603.909090909091,740.6033850985864,6.62867258867909e-05,1.4302775451865801,positive,positive,True
llama3.1,explanation_length,ruleshap,2,3,conceptually dense > 0.70 & conceptually dense <= 0.89 & technically complicated > 0.5 & unambiguous > 0.5 & interdisciplinary > 0.70,2106,1335,0.6339031339031339,3483.5827715355804,3082.5771725032428,401.0055990323376,2.1543599368701e-64,0.8246839454030196,positive,positive,True
llama3.1,explanation_length,ruleshap,2,4,technically complicated > 0.70 & socially controversial > 0.5 & positive > 0.30 & neutral <= 0.70,2106,407,0.1932573599240266,3521.2948402948405,3292.573866980577,228.72097331426357,3.149107594858883e-16,0.44377771746540234,positive,positive,True
llama3.1,explanation_length,ruleshap,2,5,technically complicated > 0.70 & positive > 0.70 & neutral > 0.70,2106,507,0.24074074074074073,3418.591715976331,3310.8342714196374,107.75744455669383,1.6335165433425695e-05,0.20674024154056783,positive,positive,True
llama3.1,explanation_length,rulefit,2,1,technically complicated > 0.5000000149011612 & conceptually dense <= 0.9000000059604645 & socially controversial > 0.5000000149011612,2106,1558,0.7397910731244065,3431.8459563543006,3066.485401459854,365.3605548944465,3.0548902121163626e-43,0.7335503400209008,positive,positive,True
llama3.1,explanation_length,rulefit,2,2,conceptually dense <= 0.9000000059604645 & conceptually dense > 0.5000000149011612 & conceptually dense > 0.7000000178813934,2106,1477,0.701329534662868,3458.696682464455,3050.484896661367,408.2117858030879,4.1646682531424336e-58,0.8352479882864606,positive,positive,True
llama3.1,explanation_length,rulefit,2,3,socially controversial > 0.7000000178813934 & subject to time variability <= 0.9000000059604645 & technically complicated > 0.7000000178813934,2106,609,0.28917378917378916,3583.8029556650245,3236.2818971275883,347.52105853743615,3.3794070003854404e-47,0.6965092571958816,positive,positive,True
llama3.1,explanation_length,rulefit,2,4,conceptually dense <= 0.9000000059604645 & conceptually dense > 0.7000000178813934 & common > 0.7000000178813934,2106,988,0.4691358024691358,3479.9625506072875,3210.2388193202146,269.72373128707295,1.4112845089054367e-33,0.5334420738672517,positive,positive,True
llama3.1,explanation_length,rulefit,2,5,technically complicated > 0.5000000149011612 & positive > 0.5000000149011612,2106,1430,0.6790123456790124,3378.935664335664,3247.591715976331,131.3439483593329,5.18042620661858e-07,0.25275625391023093,positive,positive,True
llama3.1,explanation_length,ruleshap,3,1,conceptually dense > 0.70 & conceptually dense <= 0.89,2106,1464,0.6951566951566952,3462.0143442622953,3052.43769470405,409.5766495582452,5.241166551998479e-60,0.821883407719641,positive,positive,True
llama3.1,explanation_length,ruleshap,3,2,technically complicated > 0.70 & technically complicated <= 0.89 & socially controversial > 0.70,2106,629,0.298670465337132,3571.2384737678854,3237.471225457007,333.76724831087813,6.533649610307108e-40,0.6538576071245304,positive,positive,True
llama3.1,explanation_length,ruleshap,3,3,NOT(conceptually dense <= 0.5 & technically complicated <= 0.70 & common <= 0.89 & interdisciplinary > 0.5),2106,2032,0.9648622981956315,3356.1038385826773,2816.9054054054054,539.1984331772719,5.151912742897935e-13,1.0299753562977536,positive,positive,True
llama3.1,explanation_length,ruleshap,3,4,technically complicated > 0.5 & socially controversial > 0.5 & unambiguous > 0.5 & positive > 0.30 & subject to time variability <= 0.89,2106,1441,0.6842355175688509,3449.449687716863,3093.83007518797,355.61961252889296,9.696186061699851e-45,0.7020667758337354,positive,positive,True
llama3.1,explanation_length,ruleshap,3,5,NOT(technically complicated <= 0.70 & negative > 0.89 & neutral <= 0.5),2106,1979,0.939696106362773,3348.1157150075796,3166.4015748031497,181.7141402044299,0.0013908232150992724,0.3421560246103808,positive,positive,True
llama3.1,explanation_length,rulefit,3,1,conceptually dense <= 0.9000000059604645 & conceptually dense > 0.7000000178813934,2106,1464,0.6951566951566952,3462.0143442622953,3052.43769470405,409.5766495582452,5.241166551998479e-60,0.821883407719641,positive,positive,True
llama3.1,explanation_length,rulefit,3,2,conceptually dense <= 0.9000000059604645 & conceptually dense > 0.7000000178813934 & common > 0.30000000447034836 & common > 0.7000000178813934,2106,972,0.46153846153846156,3483.0555555555557,3212.1022927689596,270.95326278659604,1.6455420498729054e-32,0.5256897420451578,positive,positive,True
llama3.1,explanation_length,rulefit,3,3,conceptually dense > 0.5000000149011612 & positive > 0.30000000447034836,2106,1913,0.9083570750237417,3374.077365394668,2971.2124352331607,402.86493016150735,8.78699691395799e-16,0.7747382152625407,positive,positive,True
llama3.1,explanation_length,rulefit,3,4,technically complicated > 0.5000000149011612 & socially controversial > 0.5000000149011612 & conceptually dense <= 0.9000000059604645 & conceptually dense > 0.5000000149011612 & common <= 0.7000000178813934,2106,559,0.2654320987654321,3395.9141323792487,3315.9263089851324,79.98782339411628,0.00167724751609758,0.15044552066550168,positive,positive,True
llama3.1,explanation_length,rulefit,3,5,technically complicated > 0.5000000149011612 & conceptually dense > 0.7000000178813934 & unambiguous > 0.5000000149011612,2106,1330,0.6315289648622981,3488.332330827068,3078.056701030928,410.27562979614004,1.838818979912743e-66,0.8293591799657609,positive,positive,True
llama3.1,explanation_length,ruleshap,4,1,technically complicated > 0.5 & socially controversial > 0.5 & neutral <= 0.5 & subject to time variability <= 0.89,2106,462,0.21937321937321938,3428.930735930736,3292.445863746959,136.48487218377704,3.938583481566154e-06,0.25201042622870395,positive,positive,True
llama3.1,explanation_length,ruleshap,4,2,technically complicated > 0.70 & technically complicated <= 0.89 & socially controversial > 0.70,2106,621,0.2948717948717949,3572.782608695652,3217.6760942760943,355.1065144195577,1.0686459187795771e-44,0.6830708686999488,positive,positive,True
llama3.1,explanation_length,ruleshap,4,3,NOT(conceptually dense <= 0.5 & technically complicated <= 0.70 & interdisciplinary <= 0.70),2106,2065,0.9805318138651472,3336.4358353510897,2614.8048780487807,721.6309573023091,1.0108546759597373e-10,1.3480627532717893,positive,positive,True
llama3.1,explanation_length,ruleshap,4,4,conceptually dense > 0.70 & technically complicated > 0.70 & socially controversial > 0.5 & subject to time variability <= 0.89,2106,810,0.38461538461538464,3546.1481481481483,3182.536265432099,363.6118827160494,9.20203298158254e-55,0.7060975458617215,positive,positive,True
llama3.1,explanation_length,ruleshap,4,5,conceptually dense > 0.70 & technically complicated > 0.5 & unambiguous > 0.5 & subject to geographical variability <= 0.89 & interdisciplinary > 0.70,2106,1293,0.613960113960114,3478.568445475638,3073.9950799507997,404.5733655248382,5.31947356795787e-65,0.7970044695752544,positive,positive,True
llama3.1,explanation_length,rulefit,4,1,conceptually dense > 0.7000000178813934 & unambiguous > 0.5000000149011612,2106,1426,0.6771130104463438,3453.9018232819076,3046.5926470588233,407.30917622308425,1.0657870722892623e-59,0.7984903915298335,positive,positive,True
llama3.1,explanation_length,rulefit,4,2,positive > 0.30000000447034836 & negative <= 0.9000000059604645,2106,1743,0.8276353276353277,3333.111302352266,3270.8925619834713,62.2187403687949,0.09401544443449618,0.11436924867631885,positive,positive,True
llama3.1,explanation_length,rulefit,4,3,socially controversial > 0.7000000178813934 & subject to time variability <= 0.9000000059604645 & technically complicated > 0.7000000178813934,2106,615,0.292022792022792,3576.5138211382114,3217.566063044936,358.9477580932753,7.40841155550341e-46,0.6909956782768751,positive,positive,True
llama3.1,explanation_length,rulefit,4,4,technically complicated > 0.5000000149011612 & conceptually dense <= 0.9000000059604645 & conceptually dense > 0.7000000178813934 & socially controversial > 0.7000000178813934,2106,879,0.41737891737891736,3542.5608646188853,3164.6585167074163,377.90234791146895,3.7288694407996255e-59,0.7386516791963539,positive,positive,True
llama3.1,explanation_length,rulefit,4,5,negative > 0.7000000178813934 & socially controversial > 0.7000000178813934 & subject to time variability <= 0.9000000059604645 & technically complicated > 0.7000000178813934,2106,375,0.17806267806267806,3608.7973333333334,3260.3396880415944,348.457645291739,1.9437224938466422e-29,0.6600350059202967,positive,positive,True
llama3.1,subjectivity_score_nn,ruleshap,0,1,conceptually dense > 0.70 & technically complicated <= 0.70 & common > 0.70 & negative <= 0.89 & interdisciplinary > 0.70,2106,324,0.15384615384615385,0.45674359651259433,0.31973233655111827,0.13701125996147606,6.2133031091448785e-09,0.35589755227268094,positive,positive,True
llama3.1,subjectivity_score_nn,ruleshap,0,2,technically complicated <= 0.5 & common > 0.70 & common <= 0.89 & negative <= 0.89 & neutral > 0.30,2106,245,0.11633428300094967,0.4914239134107317,0.3209828534221085,0.1704410599886232,4.427299946578833e-10,0.4435476643398159,positive,positive,True
llama3.1,subjectivity_score_nn,ruleshap,0,3,NOT(technically complicated > 0.70 & common > 0.70),2106,1430,0.6790123456790124,0.3655535094804697,0.2884710509572509,0.07708245852321882,1.7079056706057652e-05,0.19945557130231056,positive,positive,True
llama3.1,subjectivity_score_nn,ruleshap,0,4,NOT(technically complicated > 0.5),2106,367,0.17426400759734093,0.46904882195859904,0.31374757409164317,0.15530124786695587,1.8044365420899613e-11,0.4048134061150296,positive,positive,True
llama3.1,subjectivity_score_nn,ruleshap,0,5,NOT(technically complicated > 0.70 & common > 0.70 & socially controversial > 0.70 & positive > 0.70),2106,1927,0.9150047483380817,0.34618638693265613,0.2829429127650554,0.06324347416760073,0.03073544298807253,0.16310943890591068,positive,positive,True
llama3.1,subjectivity_score_nn,rulefit,0,1,technically complicated > 0.5000000149011612 & unambiguous > 0.5000000149011612 & socially controversial <= 0.7000000178813934,2106,692,0.3285849952516619,0.2574546929728778,0.38160488081113286,-0.12415018783825504,1.7693373481996815e-12,-0.3235368724367937,negative,negative,True
llama3.1,subjectivity_score_nn,rulefit,0,2,technically complicated <= 0.7000000178813934 & technically complicated > 0.30000000447034836 & common > 0.7000000178813934 & negative <= 0.9000000059604645,2106,635,0.30151946818613484,0.4346698691525797,0.3002940734821789,0.1343757956704008,6.034052826994716e-13,0.35066491782031023,positive,positive,True
llama3.1,subjectivity_score_nn,rulefit,0,3,socially controversial <= 0.7000000178813934 & neutral > 0.30000000447034836,2106,655,0.31101614434947766,0.31261110242086515,0.3535407835413554,-0.040929681120490224,0.025633342946924396,-0.10557741391787055,negative,negative,True
llama3.1,subjectivity_score_nn,rulefit,0,4,technically complicated > 0.5000000149011612 & positive <= 0.9000000059604645 & common > 0.5000000149011612,2106,1627,0.7725546058879392,0.3068950509248369,0.45601190219094706,-0.14911685126611018,7.359686371366159e-13,-0.3892713072217358,negative,negative,True
llama3.1,subjectivity_score_nn,rulefit,0,5,conceptually dense <= 0.7000000178813934 & unambiguous > 0.5000000149011612 & negative > 0.5000000149011612,2106,447,0.21225071225071226,0.3018179674543257,0.35131724988070506,-0.049499282426379354,0.016929961967903823,-0.12770411327162898,negative,negative,True
llama3.1,subjectivity_score_nn,ruleshap,1,1,conceptually dense > 0.70 & technically complicated <= 0.70 & socially controversial > 0.70 & neutral <= 0.30,2106,162,0.07692307692307693,0.38342138683354415,0.32808945671398454,0.055331930119559614,0.08670275592556909,0.14339114236735073,positive,positive,True
llama3.1,subjectivity_score_nn,ruleshap,1,2,NOT(technically complicated > 0.5 & positive > 0.5 & positive <= 0.70 & negative > 0.70),2106,1938,0.9202279202279202,0.33246156690167444,0.33100983252127963,0.001451734380394809,0.9630830482644298,0.0037593849436024143,positive,positive,True
llama3.1,subjectivity_score_nn,ruleshap,1,3,NOT(technically complicated > 0.5),2106,350,0.16619183285849953,0.4544268648965018,0.3080129645815743,0.14641390031492751,4.5687696254255947e-10,0.3829880762473853,positive,positive,True
llama3.1,subjectivity_score_nn,ruleshap,1,4,technically complicated <= 0.5 & positive > 0.5 & positive <= 0.89 & negative <= 0.5,2106,102,0.04843304843304843,0.5344821349078533,0.32205738061797357,0.21242475428987978,1.293178557710378e-07,0.5539710998125609,positive,positive,True
llama3.1,subjectivity_score_nn,ruleshap,1,5,NOT(technically complicated > 0.70 & negative <= 0.70),2106,1480,0.7027540360873694,0.3859154925555796,0.2056952708254988,0.18022022173008082,2.068060235989696e-25,0.4776988300803534,positive,positive,True
llama3.1,subjectivity_score_nn,rulefit,1,1,technically complicated <= 0.7000000178813934 & common > 0.7000000178813934 & negative <= 0.9000000059604645,2106,632,0.30009496676163344,0.43117540282539174,0.2899710406603613,0.14120436216503046,2.5079437394088982e-14,0.37091042004153024,positive,positive,True
llama3.1,subjectivity_score_nn,rulefit,1,2,negative > 0.7000000178813934 & conceptually dense > 0.7000000178813934 & unambiguous > 0.5000000149011612,2106,681,0.32336182336182334,0.3974241623969505,0.3012451325801381,0.09617902981681242,1.5476488479237587e-07,0.2507726048060528,positive,positive,True
llama3.1,subjectivity_score_nn,rulefit,1,3,socially controversial <= 0.9000000059604645 & technically complicated <= 0.5000000149011612,2106,343,0.16286799620132952,0.4533843700461763,0.3087971239893259,0.14458724605685042,9.391350500489563e-10,0.37805424611206545,positive,positive,True
llama3.1,subjectivity_score_nn,rulefit,1,4,positive > 0.5000000149011612 & technically complicated <= 0.7000000178813934 & negative <= 0.7000000178813934,2106,601,0.28537511870845206,0.3796408538413722,0.31345914641884076,0.06618170742253143,0.00035736279827298776,0.17189896079131065,positive,positive,True
llama3.1,subjectivity_score_nn,rulefit,1,5,conceptually dense <= 0.7000000178813934 & conceptually dense > 0.5000000149011612 & interdisciplinary > 0.7000000178813934 & negative > 0.5000000149011612,2106,427,0.20275403608736942,0.2936778834887913,0.3421796975993485,-0.048501814110557206,0.018369295536773047,-0.1257599479101524,negative,negative,True
llama3.1,subjectivity_score_nn,ruleshap,2,1,technically complicated > 0.70 & neutral > 0.30 & neutral <= 0.70,2106,194,0.09211775878442545,0.43014601088061777,0.3329770622081338,0.09716894867248399,0.0017197774069676141,0.25112347914034544,positive,positive,True
llama3.1,subjectivity_score_nn,ruleshap,2,2,NOT(conceptually dense > 0.5 & technically complicated > 0.5 & unambiguous <= 0.70 & neutral > 0.70 & interdisciplinary > 0.70),2106,1206,0.5726495726495726,0.3970094965662727,0.2681189068820741,0.1288905896841986,1.736006170691186e-14,0.3368135637490553,positive,positive,True
llama3.1,subjectivity_score_nn,ruleshap,2,3,technically complicated <= 0.70 & common > 0.70 & socially controversial > 0.30 & positive > 0.5 & neutral <= 0.30,2106,108,0.05128205128205128,0.38011893850785716,0.339863675522494,0.04025526298536314,0.28075789580057525,0.10378940928007882,positive,positive,True
llama3.1,subjectivity_score_nn,ruleshap,2,4,technically complicated > 0.30 & technically complicated <= 0.5 & positive <= 0.89,2106,309,0.1467236467236467,0.5022418246300089,0.31436157219928706,0.18788025243072182,1.692108807657079e-14,0.4915585041684663,positive,positive,True
llama3.1,subjectivity_score_nn,ruleshap,2,5,NOT(technically complicated > 0.5 & socially controversial <= 0.70),2106,1384,0.6571699905033238,0.39382671603577674,0.24244362058071547,0.15138309545506126,1.7231072832363911e-18,0.3970827102429475,positive,positive,True
llama3.1,subjectivity_score_nn,rulefit,2,1,conceptually dense > 0.5000000149011612 & unambiguous <= 0.7000000178813934 & technically complicated > 0.7000000178813934,2106,1095,0.51994301994302,0.28022090038752445,0.40876219894011107,-0.1285412985525866,2.1586967077295002e-14,-0.33596813133905296,negative,negative,True
llama3.1,subjectivity_score_nn,rulefit,2,2,socially controversial > 0.5000000149011612 & interdisciplinary > 0.7000000178813934 & negative <= 0.9000000059604645,2106,1485,0.7051282051282052,0.3423271560909772,0.3409736590300973,0.0013534970608798935,0.9416730022257711,0.003488786196250055,positive,positive,True
llama3.1,subjectivity_score_nn,rulefit,2,3,technically complicated > 0.5000000149011612 & conceptually dense > 0.5000000149011612 & neutral > 0.7000000178813934,2106,909,0.43162393162393164,0.27175884953688734,0.39521443176588217,-0.12345558222899483,2.0580674019563525e-13,-0.3222516143986757,negative,negative,True
llama3.1,subjectivity_score_nn,rulefit,2,4,technically complicated > 0.5000000149011612 & unambiguous > 0.5000000149011612 & socially controversial <= 0.7000000178813934,2106,715,0.3395061728395062,0.23832376153319032,0.3951825877473476,-0.15685882621415728,9.698782254090966e-20,-0.41194859788379506,negative,negative,True
llama3.1,subjectivity_score_nn,rulefit,2,5,negative > 0.7000000178813934 & subject to time variability <= 0.9000000059604645 & technically complicated > 0.7000000178813934,2106,431,0.204653371320038,0.36377166595370475,0.33630739165775814,0.02746427429594661,0.20152266698515037,0.07082098939147553,positive,positive,True
llama3.1,subjectivity_score_nn,ruleshap,3,1,NOT(conceptually dense > 0.5 & technically complicated > 0.5 & socially controversial <= 0.70 & negative <= 0.70 & subject to geographical variability <= 0.89),2106,1520,0.7217473884140551,0.3859443918654793,0.2548027412883251,0.1311416505771542,6.843601566847263e-13,0.3419864872376832,positive,positive,True
llama3.1,subjectivity_score_nn,ruleshap,3,2,technically complicated > 0.70 & technically complicated <= 0.89 & common <= 0.5 & neutral <= 0.70,2106,43,0.020417853751187084,0.4217015976129576,0.34794799482943767,0.07375360278351994,0.22783618484602505,0.1901790372179697,positive,positive,True
llama3.1,subjectivity_score_nn,ruleshap,3,3,NOT(technically complicated > 0.70 & common > 0.5 & unambiguous <= 0.70 & subject to geographical variability <= 0.89 & interdisciplinary > 0.70),2106,1081,0.5132953466286799,0.4165926149992012,0.2786470880159518,0.1379455269832494,1.933449477298622e-16,0.36133166291236296,positive,positive,True
llama3.1,subjectivity_score_nn,ruleshap,3,4,NOT(technically complicated > 0.5 & technically complicated <= 0.70 & common > 0.70 & negative > 0.89 & subject to time variability <= 0.89),2106,2065,0.9805318138651472,0.34780028264689966,0.43273898450339715,-0.08493870185649749,0.1876035487688118,-0.21904171317119658,positive,negative,False
llama3.1,subjectivity_score_nn,ruleshap,3,5,technically complicated <= 0.5 & positive > 0.70 & negative > 0.5 & neutral > 0.5 & interdisciplinary > 0.70,2106,95,0.04510921177587844,0.4481973698264674,0.34478922520983224,0.10340814461663517,0.010609587642571073,0.2669581453087872,positive,positive,True
llama3.1,subjectivity_score_nn,rulefit,3,1,technically complicated > 0.5000000149011612 & common > 0.5000000149011612,2106,1651,0.7839506172839507,0.3202311793361412,0.45549056032201746,-0.13525938098587625,8.2917712829127e-11,-0.3522989303030533,negative,negative,True
llama3.1,subjectivity_score_nn,rulefit,3,2,common > 0.7000000178813934 & subject to time variability <= 0.9000000059604645 & technically complicated <= 0.7000000178813934 & negative <= 0.9000000059604645,2106,616,0.2924976258309592,0.4368152872889073,0.31333668796008063,0.12347859932882665,2.8171149978972464e-11,0.3216762923735214,positive,positive,True
llama3.1,subjectivity_score_nn,rulefit,3,3,conceptually dense > 0.7000000178813934 & socially controversial > 0.5000000149011612 & socially controversial <= 0.9000000059604645 & socially controversial > 0.7000000178813934 & subject to geographical variability <= 0.9000000059604645 & negative > 0.5000000149011612,2106,954,0.452991452991453,0.39890536016138345,0.30850188232337433,0.09040347783800912,9.680342471908178e-08,0.23461287172994127,positive,positive,True
llama3.1,subjectivity_score_nn,rulefit,3,4,conceptually dense > 0.5000000149011612 & negative <= 0.7000000178813934 & technically complicated > 0.7000000178813934,2106,649,0.30816714150047486,0.22953769881479177,0.4028688507204442,-0.17333115190565243,6.04921370404868e-23,-0.4566167922653863,negative,negative,True
llama3.1,subjectivity_score_nn,rulefit,3,5,technically complicated > 0.5000000149011612 & conceptually dense > 0.5000000149011612 & neutral > 0.7000000178813934,2106,880,0.4178537511870845,0.28074392066760495,0.39877261977405765,-0.1180286991064527,2.797751265795806e-12,-0.30772274691900303,negative,negative,True
llama3.1,subjectivity_score_nn,ruleshap,4,1,technically complicated <= 0.70 & positive > 0.5 & negative <= 0.70 & neutral > 0.30,2106,521,0.24738841405508072,0.4056465820250264,0.32082555087206865,0.08482103115295775,1.4577856424242223e-05,0.22080172087481525,positive,positive,True
llama3.1,subjectivity_score_nn,ruleshap,4,2,technically complicated <= 0.5 & common > 0.70 & socially controversial <= 0.70 & negative <= 0.5 & neutral > 0.30,2106,94,0.0446343779677113,0.45314253391103543,0.3366078375644286,0.11653469634660685,0.0053358636713547675,0.3025777493249348,positive,positive,True
llama3.1,subjectivity_score_nn,ruleshap,4,3,NOT(technically complicated > 0.5 & common > 0.5 & socially controversial <= 0.70 & unambiguous > 0.5 & unambiguous <= 0.70),2106,1467,0.6965811965811965,0.38117860492265543,0.2514262190074055,0.1297523859152499,3.8054247647821096e-13,0.3403353553632451,positive,positive,True
llama3.1,subjectivity_score_nn,ruleshap,4,4,technically complicated <= 0.5 & common > 0.70 & common <= 0.89 & negative <= 0.5 & neutral > 0.30,2106,105,0.04985754985754986,0.47111978587650116,0.3350238829836257,0.1360959028928755,0.0004976672432633768,0.3537238779008525,positive,positive,True
llama3.1,subjectivity_score_nn,ruleshap,4,5,conceptually dense > 0.5 & technically complicated <= 0.5 & socially controversial <= 0.70 & positive > 0.5 & neutral > 0.40,2106,108,0.05128205128205128,0.43662284204253443,0.3366842344477847,0.0999386075947497,0.010609629176199065,0.25940512580250297,positive,positive,True
llama3.1,subjectivity_score_nn,rulefit,4,1,technically complicated > 0.5000000149011612 & unambiguous <= 0.7000000178813934 & common > 0.5000000149011612,2106,1617,0.7678062678062678,0.30577035737612696,0.4609809805522911,-0.15521062317616413,2.152576235427347e-14,-0.40814765555684623,negative,negative,True
llama3.1,subjectivity_score_nn,rulefit,4,2,unambiguous <= 0.7000000178813934 & socially controversial <= 0.9000000059604645 & technically complicated > 0.7000000178813934,2106,1094,0.5194681861348528,0.2848937118620062,0.4033366073026016,-0.11844289544059544,1.5355873391989185e-12,-0.3106106362103917,negative,negative,True
llama3.1,subjectivity_score_nn,rulefit,4,3,technically complicated <= 0.7000000178813934 & common > 0.7000000178813934 & negative <= 0.9000000059604645,2106,634,0.3010446343779677,0.44188217099532723,0.29870724929091724,0.14317492170440999,8.029610241989331e-15,0.3765222649182222,positive,positive,True
